xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
244	0	3.09807621135332	21.5	0.5
245	0.5	3.96410161513775	21.5	0.5
246	0	4.83012701892219	21.5	0.5
247	0.5	5.69615242270663	21.5	0.5
248	0	6.56217782649107	21.5	0.5
249	0.5	7.42820323027551	21.5	0.5
250	0	8.29422863405995	21.5	0.5
251	0.5	9.16025403784439	21.5	0.5
252	0	10.0262794416288	21.5	0.5
253	1.5	0.5	21.5	0.5
254	1	1.36602540378444	21.5	0.5
255	1.5	2.23205080756888	21.5	0.5
256	1	3.09807621135332	21.5	0.5
257	1.5	3.96410161513775	21.5	0.5
258	1	4.83012701892219	21.5	0.5
259	1.5	5.69615242270663	21.5	0.5
260	1	6.56217782649107	21.5	0.5
261	1.5	7.42820323027551	21.5	0.5
262	1	8.29422863405995	21.5	0.5
263	1.5	9.16025403784439	21.5	0.5
264	1	10.0262794416288	21.5	0.5
265	2.5	0.5	21.5	0.5
266	2	1.36602540378444	21.5	0.5
267	2.5	2.23205080756888	21.5	0.5
268	2	3.09807621135332	21.5	0.5
269	2.5	3.96410161513775	21.5	0.5
270	2	4.83012701892219	21.5	0.5
271	2.5	5.69615242270663	21.5	0.5
272	2	6.56217782649107	21.5	0.5
273	2.5	7.42820323027551	21.5	0.5
274	2	8.29422863405995	21.5	0.5
275	2.5	9.16025403784439	21.5	0.5
276	2	10.0262794416288	21.5	0.5
277	3.5	0.5	21.5	0.5
278	3	1.36602540378444	21.5	0.5
279	3.5	2.23205080756888	21.5	0.5
280	3	3.09807621135332	21.5	0.5
281	3.5	3.96410161513775	21.5	0.5
282	3	4.83012701892219	21.5	0.5
283	3.5	5.69615242270663	21.5	0.5
284	3	6.56217782649107	21.5	0.5
285	3.5	7.42820323027551	21.5	0.5
286	3	8.29422863405995	21.5	0.5
287	3.5	9.16025403784439	21.5	0.5
288	3	10.0262794416288	21.5	0.5
289	4.5	0.5	21.5	0.5
290	4	1.36602540378444	21.5	0.5
291	4.5	2.23205080756888	21.5	0.5
292	4	3.09807621135332	21.5	0.5
293	4.5	3.96410161513775	21.5	0.5
294	4	4.83012701892219	21.5	0.5
295	4.5	5.69615242270663	21.5	0.5
296	4	6.56217782649107	21.5	0.5
297	4.5	7.42820323027551	21.5	0.5
298	4	8.29422863405995	21.5	0.5
299	4.5	9.16025403784439	21.5	0.5
300	4	10.0262794416288	21.5	0.5
301	5.5	0.5	21.5	0.5
302	5	1.36602540378444	21.5	0.5
303	5.5	2.23205080756888	21.5	0.5
304	5	3.09807621135332	21.5	0.5
305	5.5	3.96410161513775	21.5	0.5
306	5	4.83012701892219	21.5	0.5
307	5.5	5.69615242270663	21.5	0.5
308	5	6.56217782649107	21.5	0.5
309	5.5	7.42820323027551	21.5	0.5
310	5	8.29422863405995	21.5	0.5
311	5.5	9.16025403784439	21.5	0.5
312	5	10.0262794416288	21.5	0.5
313	6.5	0.5	21.5	0.5
314	6	1.36602540378444	21.5	0.5
315	6.5	2.23205080756888	21.5	0.5
316	6	3.09807621135332	21.5	0.5
317	6.5	3.96410161513775	21.5	0.5
318	6	4.83012701892219	21.5	0.5
319	6.5	5.69615242270663	21.5	0.5
320	6	6.56217782649107	21.5	0.5
321	6.5	7.42820323027551	21.5	0.5
322	6	8.29422863405995	21.5	0.5
323	6.5	9.16025403784439	21.5	0.5
324	6	10.0262794416288	21.5	0.5
325	7.5	0.5	21.5	0.5
326	7	1.36602540378444	21.5	0.5
327	7.5	2.23205080756888	21.5	0.5
328	7	3.09807621135332	21.5	0.5
329	7.5	3.96410161513775	21.5	0.5
330	7	4.83012701892219	21.5	0.5
331	7.5	5.69615242270663	21.5	0.5
332	7	6.56217782649107	21.5	0.5
333	7.5	7.42820323027551	21.5	0.5
334	7	8.29422863405995	21.5	0.5
335	7.5	9.16025403784439	21.5	0.5
336	7	10.0262794416288	21.5	0.5
337	8.5	0.5	21.5	0.5
338	8	1.36602540378444	21.5	0.5
339	8.5	2.23205080756888	21.5	0.5
340	8	3.09807621135332	21.5	0.5
341	8.5	3.96410161513775	21.5	0.5
342	8	4.83012701892219	21.5	0.5
343	8.5	5.69615242270663	21.5	0.5
344	8	6.56217782649107	21.5	0.5
345	8.5	7.42820323027551	21.5	0.5
346	8	8.29422863405995	21.5	0.5
347	8.5	9.16025403784439	21.5	0.5
348	8	10.0262794416288	21.5	0.5
349	9.5	0.5	21.5	0.5
350	9	1.36602540378444	21.5	0.5
351	9.5	2.23205080756888	21.5	0.5
352	9	3.09807621135332	21.5	0.5
353	9.5	3.96410161513775	21.5	0.5
354	9	4.83012701892219	21.5	0.5
355	9.5	5.69615242270663	21.5	0.5
356	9	6.56217782649107	21.5	0.5
357	9.5	7.42820323027551	21.5	0.5
358	9	8.29422863405995	21.5	0.5
359	9.5	9.16025403784439	21.5	0.5
360	9	10.0262794416288	21.5	0.5
361	10.5	0.5	21.5	0.5
362	10	1.36602540378444	21.5	0.5
363	10.5	2.23205080756888	21.5	0.5
364	10	3.09807621135332	21.5	0.5
365	10.5	3.96410161513775	21.5	0.5
366	10	4.83012701892219	21.5	0.5
367	10.5	5.69615242270663	21.5	0.5
368	10	6.56217782649107	21.5	0.5
369	10.5	7.42820323027551	21.5	0.5
370	10	8.29422863405995	21.5	0.5
371	10.5	9.16025403784439	21.5	0.5
372	10	10.0262794416288	21.5	0.5
373	11.5	0.5	21.5	0.5
374	11	1.36602540378444	21.5	0.5
375	11.5	2.23205080756888	21.5	0.5
376	11	3.09807621135332	21.5	0.5
377	11.5	3.96410161513775	21.5	0.5
378	11	4.83012701892219	21.5	0.5
379	11.5	5.69615242270663	21.5	0.5
380	11	6.56217782649107	21.5	0.5
381	11.5	7.42820323027551	21.5	0.5
382	11	8.29422863405995	21.5	0.5
383	11.5	9.16025403784439	21.5	0.5
384	11	10.0262794416288	21.5	0.5
385	12.5	0.5	21.5	0.5
386	12	1.36602540378444	21.5	0.5
